id,category,name,qty,description
1,BARS,"SONOMA LADDER BAR BACK 23"" X 108"" X 67""",10,
2,BARS,SONOMA LADDER SHELVES BAR BACK SET (4),5,
3,BARS,"MARQUEE RED LETTER ""A"" 3"" X 20"" X 18""",4,
4,BARS,"MARQUEE RUSTED LETTER ""A""  4"" X 21"" X 25""",2,
5,BARS,"MARQUEE RED LETTER ""B"" 3"" X 20"" X 18""",4,
6,BARS,"MARQUEE RUSTED LETTER ""B""  4"" X 21"" X 25""",2,
7,BARS,"MARQUEE RED LETTER ""R"" 3"" X 20"" X 18""",4,
8,BARS,"MARQUEE RUSTED LETTER ""R""  4"" X 21"" X 25""",2,
9,BARS,"MAHOGANY BAR COLUMN 24"" X 24"" X 48""",10,
10,BARS,"MAHOGANY BAR COLUMN TOPS 28"" X 28"" X 2""",8,
11,BARS,"MAHOGANY BAR FRONT 16"" X 72"" X45""",8,
12,BARS,MEXICAN BAR TILE TOP,3,
13,BARS,"SONOMA RECLAIM WOOD BAR FRONT 33"" X 73"" X 50""",5,
14,BARS,"SONOMA RECLAIM WOOD BAR TOPS 14"" X 77"" X 2""",5,
15,BARS,TABLE FOLDABLE WHITE 5' ,4,MAINSTAYS. FOR SONOMA BAR
16,CACTUS,GREEN FAUX SAHUARO 8' ,6,
17,CACTUS,ROPE LIT CACTUS OCOTILLO 8',6,
18,CACTUS,ROPE LIT CACTUS PRICKLEY PEAR 6',5,
19,CACTUS,ROPE LIT CACTUS SMALL SAHUARO 8',1,
20,CACTUS,ROPE LIT CACTUS TALL SAHUARO 12',8,
21,COVERS,BAR BACK LADDER COVER,10,
22,COVERS,BAR BACK SHELF FOR LADDER COVER,5,
23,COVERS,BENCH COVER 7' ,3,
24,COVERS,BENCH COVER 9' ,17,
25,COVERS,BUCKLE COVERS,,
26,COVERS,MAHOGANY BAR COLUMN TOP COVER,8,
27,COVERS,POLE BASE COVER LARGE,20,
28,COVERS,POLE BASE RUBBER COVER,10,
29,COVERS,POLE PROTECTIVE COVER,20,
30,COVERS,POLE RUBBER COVER,20,
31,COVERS,ROUND TABLE CART COVER,1,
32,COVERS,ROUND TABLE COVER,25,
33,COVERS,SONOMA BAR TOP COVER,5,
34,COVERS,"TABLE COVERS 2"" X 4"" ",9,
35,COVERS,TABLE COVERS 3' X 6' ,15,
36,COVERS,TABLE COVERS 4' X 8' ,8,
37,COVERS,TREE STRAPS,,
38,COVERS,"TRUSS BASE COVER BLACK 12"" ",8,
39,COVERS,"TRUSS BASE COVER BLACK 8""",10,
40,COVERS,"TRUSS COVER 12"" X 15' (46"") ",1,
41,COVERS,"TRUSS COVER BLACK 12"" X 13'",4,
42,COVERS,"TRUSS COVER BLACK 12"" X 13' (46"") ",3,
43,COVERS,"TRUSS COVER BLACK 8"" X 13'  ",12,
44,COVERS,TRUSS COVER WHITE 4' X 10.5' ,1,
45,COVERS,TRUSS COVER WHITE 4' X 13' ,2,
46,COVERS,WATER BARREL COVERS,18,
47,LIGHTING EQUIPMENT,BISTRO LIGHTING 10 FT,2,
48,LIGHTING EQUIPMENT,BISTRO LIGHTING 100 FT,23,
49,LIGHTING EQUIPMENT,BISTRO LIGHTING 100 FT LAWN COURT,6,
50,LIGHTING EQUIPMENT,BISTRO LIGHTING 20 FT,2,
51,LIGHTING EQUIPMENT,BISTRO LIGHTING 25 FT,10,
52,LIGHTING EQUIPMENT,BISTRO LIGHTING 30 FT,1,
53,LIGHTING EQUIPMENT,BISTRO LIGHTING 35 FT,1,
54,LIGHTING EQUIPMENT,BISTRO LIGHTING 45 FT,1,
55,LIGHTING EQUIPMENT,BISTRO LIGHTING 50 FT,1,
56,LIGHTING EQUIPMENT,BISTRO LIGHTING 65 FT,1,
57,LIGHTING EQUIPMENT,BISTRO LIGHTING 75 FT,1,
58,LIGHTING EQUIPMENT,EASY PIN LIGHT FOR BUFFET LIGHT TREE,12,
59,LIGHTING EQUIPMENT,GOBO LEKO LIGHT,1,
60,LIGHTING EQUIPMENT,LED CUAD LIGHTS FOR LIGHTING TREE,2,4 LED LIGHT BAR
61,LIGHTING EQUIPMENT,MOON BALLON TRIPOD,2,
62,LIGHTING EQUIPMENT,MOON BALLOON ,2,
63,LIGHTING EQUIPMENT,POLE (BLACK) 10',20,
64,LIGHTING EQUIPMENT,"POLE BASE (BLACK) 19"" X 19""",18,
65,LIGHTING EQUIPMENT,POLE BASE (CHROME),2,
66,LIGHTING EQUIPMENT,TRIPOD FOR LIGHTING TREE,2,
67,LIGHTING EQUIPMENT,UPLIGHT WIRELESS LED,26,